match_id,t1_xi_bat_avg,t2_xi_bat_avg,t1_xi_bat_sr,t2_xi_bat_sr,t1_xi_bowl_wpm,t2_xi_bowl_wpm,t1_xi_bowl_er,t2_xi_bowl_er,xi_bat_diff,xi_sr_diff,xi_bowl_diff,xi_er_diff
1426267,27.975,31.7,149.16780971216522,190.75865944855238,1.4791666666666667,1.5875,8.072033226757807,8.892966812289824,-3.724999999999998,-41.590849736387156,-0.10833333333333317,0.8209335855320177
1426268,29.55,31.525,165.93881200308775,149.92404864884148,1.1348214285714286,0.8645833333333334,8.27257145547073,9.920210405739434,-1.9749999999999979,16.01476335424627,0.2702380952380953,1.6476389502687034
1426269,27.376666666666665,25.775,158.70877237012405,145.15848907240735,1.2375,1.15625,8.041748552922241,7.9446507839771225,1.6016666666666666,13.550283297716703,0.08125000000000004,-0.0970977689451189
1426270,31.185714285714283,22.19166666666667,146.0467720685112,141.83569502396904,1.25,1.125,8.716339490341591,8.401289886584005,8.994047619047613,4.211077044542151,0.125,-0.3150496037575863
1426271,29.925,26.566666666666663,183.31019110088877,158.48730333293022,1.4583333333333335,1.375,8.02879557646601,8.575136525776895,3.358333333333338,24.822887767958548,0.08333333333333348,0.5463409493108848
1426272,27.683333333333337,25.4,149.25020275750202,134.08671882680216,1.6428571428571428,1.1875,7.715108762732927,8.330052439314414,2.2833333333333385,15.163483930699869,0.4553571428571428,0.6149436765814871
1426273,33.825,27.35,176.66898863931473,146.600329454526,0.96875,1.28125,8.344036483153685,7.875211548646229,6.475000000000001,30.068659184788743,-0.3125,-0.468824934507456
1426274,28.8,33.30833333333333,158.4706309095033,157.0975685602361,1.2916666666666667,1.0,8.289728195538373,9.007878453869084,-4.508333333333329,1.373062349267201,0.29166666666666674,0.7181502583307111
1426275,27.467857142857145,26.375,157.9995279560497,140.1862342340749,1.5,1.21875,8.658528909920761,8.554280152094897,1.0928571428571452,17.813293721974787,0.28125,-0.1042487578258644
1426276,30.825,29.7,158.5245524596358,154.08334957620067,1.2053571428571428,1.0625,8.276334544840132,8.201965198073658,1.125,4.441202883435125,0.1428571428571428,-0.07436934676647411
1426277,28.15,27.425,158.29739522130825,133.94937142291175,1.4375,1.125,7.775688718300689,8.304921814919252,0.7249999999999979,24.348023798396497,0.3125,0.5292330966185634
1426278,31.18333333333333,24.783333333333335,162.863229791512,138.41203054463836,1.40625,1.46875,8.343896678951902,7.666782663480705,6.399999999999995,24.451199246873642,-0.0625,-0.6771140154711972
1426279,30.991666666666667,36.74166666666667,164.68089279410032,186.71137214626737,0.98125,1.1339285714285714,9.470172341528908,8.465502163542403,-5.75,-22.03047935216705,-0.15267857142857144,-1.0046701779865046
1426280,29.323571428571427,23.259999999999998,161.31888478849805,150.62773775810595,1.25,1.5,8.105260728937605,8.305293034439726,6.063571428571429,10.691147030392102,-0.25,0.2000323055021216
1426281,29.15,32.25,165.0773951124604,155.47562899370706,1.28125,0.71875,8.426954642547884,8.746269436116288,-3.1000000000000014,9.601766118753346,0.5625,0.3193147935684042
1426282,30.075,32.825,141.2486782300096,156.46683084500538,1.125,1.25,8.206637720811276,8.097248485814745,-2.7500000000000036,-15.218152614995773,-0.125,-0.10938923499653086
1426283,26.175,31.575,143.1024435112172,163.1811124694668,1.4479166666666667,0.9375,8.12904423838501,8.832146582125581,-5.399999999999999,-20.078668958249608,0.5104166666666667,0.7031023437405715
1426284,30.22142857142857,35.010714285714286,161.73546442687746,187.4118549869811,1.40625,1.21875,7.712303476997173,8.817955647605578,-4.789285714285715,-25.67639056010364,0.1875,1.1056521706084048
1426285,34.055,31.895,178.5979232316584,167.3769619523336,1.21875,1.3214285714285714,9.211179720717645,8.666567682653518,2.16,11.220961279324797,-0.1026785714285714,-0.5446120380641268
1426286,31.95,26.8,156.9296671652042,141.8587558413388,1.0625,1.3020833333333335,8.749226183652414,7.820405526551706,5.149999999999999,15.070911323865403,-0.23958333333333348,-0.928820657100708
1426287,32.75,28.138571428571424,167.36237313329943,165.2845513086266,0.96875,1.4375,8.122787172611227,8.71853155338673,4.611428571428576,2.0778218246728386,-0.46875,0.5957443807755034
1426288,31.195,33.25,180.80036623289698,156.57646965548378,1.28125,1.28125,9.136497119238353,8.241312912726507,-2.0549999999999997,24.2238965774132,0.0,-0.8951842065118463
1426289,33.394999999999996,28.9,168.302386770332,158.57884221042116,1.3125,1.0625,8.51049073913968,9.052089190438705,4.494999999999997,9.723544559910835,0.25,0.5415984512990253
1426290,26.95,35.165,143.20148750481985,172.74646274900275,0.96875,1.0,8.88168352350299,8.67612323491656,-8.215,-29.544975244182893,-0.03125,-0.2055602885864296
1426292,31.8,27.8,166.5956305432539,136.89108071143485,1.5625,1.28125,7.9650788183481875,8.202954471012118,4.0,29.704549831819037,0.28125,0.23787565266393074
